Year,RDHS Area,Province,Disease,Cumulative Cases
2025,Mullaitivu,Northern,Leptospirosis,70
2025,Batticaloa,Eastern,Leptospirosis,137
2025,Ampara,Eastern,Leptospirosis,266
2025,Trincomalee,Eastern,Leptospirosis,152
2025,Kurunegala,North Western,Leptospirosis,842
2025,Puttalam,North Western,Leptospirosis,357
2025,Anuradhapura,North Central,Leptospirosis,437
2025,Polonnaruwa,North Central,Leptospirosis,343
2025,Badulla,Uva,Leptospirosis,327
2025,Monaragala,Uva,Leptospirosis,593
2025,Ratnapura,Sabaragamuwa,Leptospirosis,1588
2025,Kegalle,Sabaragamuwa,Leptospirosis,862
2025,Kalmunai,Eastern,Leptospirosis,120
